"","value"
"1","https://lopezobrador.org.mx/2020/03/21/version-estenografica-214-aniversario-del-natalicio-de-benito-juarez-garcia-en-guelatao-oaxaca/"
"2","https://lopezobrador.org.mx/2020/03/20/version-estenografica-hospital-rural-del-imss-bienestar-tlaxiaco-en-oaxaca/"
"3","https://lopezobrador.org.mx/2020/03/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-281/"
"4","https://lopezobrador.org.mx/2020/03/19/version-estenografica-clausura-de-curso-de-formacion-inicial-para-la-guardia-nacional-en-el-estado-de-mexico/"
"5","https://lopezobrador.org.mx/2020/03/19/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-280/"
"6","https://lopezobrador.org.mx/2020/03/18/version-estenografica-82-aniversario-de-la-expropiacion-petrolera-en-ciudad-de-mexico/"
"7","https://lopezobrador.org.mx/2020/03/18/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-279/"
"8","https://lopezobrador.org.mx/2020/03/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-278/"
"9","https://lopezobrador.org.mx/2020/03/16/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-277/"
"10","https://lopezobrador.org.mx/2020/03/15/version-estenografica-dialogo-con-pueblos-indigenas-en-ayutla-de-los-libres-guerrero/"
"11","https://lopezobrador.org.mx/2020/03/15/version-estenografica-dialogo-con-pueblos-indigenas-en-marquelia-guerrero/"
"12","https://lopezobrador.org.mx/2020/03/14/version-estenografica-dialogo-con-el-pueblo-afromexicano-en-cuajinicuilapa-guerrero/"
"13","https://lopezobrador.org.mx/2020/03/14/version-estenografica-dialogo-con-pueblos-indigenas-en-xochistlahuaca-guerrero/"
"14","https://lopezobrador.org.mx/2020/03/13/version-estenografica-83-convencion-bancaria-en-acapulco-guerrero/"
"15","https://lopezobrador.org.mx/2020/03/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-276/"
"16","https://lopezobrador.org.mx/2020/03/12/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-275/"
"17","https://lopezobrador.org.mx/2020/03/11/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-274/"
"18","https://lopezobrador.org.mx/2020/03/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-273/"
"19","https://lopezobrador.org.mx/2020/03/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-272/"
"20","https://lopezobrador.org.mx/2020/03/08/version-estenografica-dia-internacional-de-las-mujeres/"
"21","https://lopezobrador.org.mx/2020/03/07/version-estenografica-programas-integrales-de-bienestar-en-jerez-de-garcia-salinas-zacatecas/"
"22","https://lopezobrador.org.mx/2020/03/07/version-estenografica-programas-integrales-de-bienestar-en-calvillo-aguascalientes/"
"23","https://lopezobrador.org.mx/2020/03/06/version-estenografica-programas-integrales-de-bienestar-en-mexquitic-san-luis-potosi/"
"24","https://lopezobrador.org.mx/2020/03/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-271/"
"25","https://lopezobrador.org.mx/2020/03/05/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-270/"
"26","https://lopezobrador.org.mx/2020/03/04/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-269/"
"27","https://lopezobrador.org.mx/2020/03/03/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-268/"
"28","https://lopezobrador.org.mx/2020/03/02/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-267/"
"29","https://lopezobrador.org.mx/2020/03/01/version-estenografica-programa-de-mejoramiento-urbano-y-dialogo-con-pueblos-indigenas-en-macuspana-tabasco/"
"30","https://lopezobrador.org.mx/2020/02/29/version-estenografica-programa-de-mejoramiento-urbano-en-centla-tabasco/"
"31","https://lopezobrador.org.mx/2020/03/21/version-estenografica-214-aniversario-del-natalicio-de-benito-juarez-garcia-en-guelatao-oaxaca/"
"32","https://lopezobrador.org.mx/2020/03/20/version-estenografica-hospital-rural-del-imss-bienestar-tlaxiaco-en-oaxaca/"
"33","https://lopezobrador.org.mx/2020/03/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-281/"
"34","https://lopezobrador.org.mx/2020/03/19/version-estenografica-clausura-de-curso-de-formacion-inicial-para-la-guardia-nacional-en-el-estado-de-mexico/"
"35","https://lopezobrador.org.mx/2020/03/19/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-280/"
"36","https://lopezobrador.org.mx/2020/03/18/version-estenografica-82-aniversario-de-la-expropiacion-petrolera-en-ciudad-de-mexico/"
"37","https://lopezobrador.org.mx/2020/03/18/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-279/"
"38","https://lopezobrador.org.mx/2020/03/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-278/"
"39","https://lopezobrador.org.mx/2020/03/16/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-277/"
"40","https://lopezobrador.org.mx/2020/03/15/version-estenografica-dialogo-con-pueblos-indigenas-en-ayutla-de-los-libres-guerrero/"
"41","https://lopezobrador.org.mx/2020/03/15/version-estenografica-dialogo-con-pueblos-indigenas-en-marquelia-guerrero/"
"42","https://lopezobrador.org.mx/2020/03/14/version-estenografica-dialogo-con-el-pueblo-afromexicano-en-cuajinicuilapa-guerrero/"
"43","https://lopezobrador.org.mx/2020/03/14/version-estenografica-dialogo-con-pueblos-indigenas-en-xochistlahuaca-guerrero/"
"44","https://lopezobrador.org.mx/2020/03/13/version-estenografica-83-convencion-bancaria-en-acapulco-guerrero/"
