"","titulo","texto"
"1","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR: Amigas, amigos de Guelatao, de pueblos, de municipios de esta región de la Sierra Juárez, autoridades tradicionales de los pueblos, ciudadano gobernador, senadores, amigas, amigos todos."
"2","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Me da mucho gusto estar de nuevo en Guelatao, en este aniversario del natalicio del presidente Juárez. Siempre he sostenido que hay tres presidentes todavía gobiernan con su ejemplo: Benito Juárez, Francisco I. Madero y el general Lázaro Cárdenas del Río."
"3","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","El presidente Juárez es sin duda el mejor presidente que ha habido en la historia de nuestro país. Tiene muchos atributos, el presidente Juárez tiene muchas virtudes, pero hay algo que quiero recordar en este día."
"4","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","El presidente Juárez encana la perseverancia, la resistencia, el no rendirse frente a la adversidad. Así lo demostró su historia pública, desde que fue gobernador de Oaxaca, como aquí se ha expresado."
"5","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Y militó en las filas del Partido Liberal y siempre también se pronunció y llevó a la práctica el federalismo. En ese entonces por lo general los liberales eran federalistas y los conservadores centralistas."
"6","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Desde aquel entonces Juárez empezó a luchar contra la dictadura de Antonio López de Santa Anna. Fue a Ayutla, Guerrero, a ponerse a las órdenes de Juan Álvarez, liberal que llamó al pueblo para enfrentar a Antonio López de Santa Anna."
"7","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Luego, cuando le toca como presidente dirigir los destinos de la nación, lleva a cabo la reforma para separar al Estado de la Iglesia, bajo el principio bíblico de que a Dios lo que es de Dios y al César lo que es del César."
"8","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","A veces se confunde y se dice, y se piensa que Juárez era antirreligioso y eso no es cierto, Juárez era anticlerical por las circunstancias que prevalecían en ese entonces nuestro país, de cómo el clero había adquirido un poder descomunal. Por eso fue el movimiento de Reforma."
"9","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Eso llevó como, aquí lo mencionó la niña que ha declamado esta bella poesía, nos llevó a la Guerra de los Tres Años, a la Guerra de Reforma. Y en momentos difíciles, cuando Juárez estaba en Veracruz con su equipo cercano, en vez de echarse para atrás, tomó la decisión histórica de proclamar la expropiación de los bienes del clero."
"10","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Esto molestó mucho a los conservadores, se alentó la guerra, la confrontación, pero al mismo tiempo esta decisión ayudó para contar con aliados, hay que decirlo, con los que ambicionaban las tierras del clero, medianos y grandes propietarios civiles que se adhirieron por esa medida al movimiento liberal, y esto permitió cohesionar y fortalecer a los liberales. Triunfó ese movimiento."
"11","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Pero, derrotados los conservadores, decidieron ir al extranjero a traer a un príncipe y a una emperatriz, aprovechándose de una situación económica difícil en nuestro país, de muchas carencias que llevaron al presidente Juárez a declarar una moratoria en el pago de la deuda pública."
"12","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","España, Inglaterra, Francia, se pusieron de acuerdo para invadir a México. Se logró convencer a España, a Inglaterra, pero los franceses tenían otro propósito, no era cobrar la deuda, que se incluía, entre otras cosas, el asalto, la pérdida, porque un pastelero francés había sido afectado por mexicanos. No era eso, no era la deuda, era el interés, el propósito de ampliar sus dominios y convertirnos en colonia, como había sucedido durante tres siglos de dominación colonial española."
"13","Versión estenográfica. 214 Aniversario del Natalicio de Benito Juárez García, en Guelatao, Oaxaca","Por eso fue la intervención francesa y es una etapa muy vergonzosa, porque un grupo de conservadores fueron a proponer que se estableciera ese gobierno imperial en México."
