"","x","url","precio","descripcion"
"1",1,"https://www.inmuebles24.com/propiedades/bonito-y-confortable-departamento-muy-bien-ubicado-y-58234269.html","MN 11,500","Departamento en excelentes condiciones ubicado en Av.Granjas, ideal para pareja o familia pequeña. Cuenta con 2 recámaras con closet, cocina integral, patio de servicio, vigilancia las 24 hrs., elevador, gimnasio, ludoteca, salón de eventos y de usos múltiples, 1 cajón de estacionamiento compartido. A 3 cuadras del metro Ferrería."
"2",2,"https://www.inmuebles24.com/propiedades/practico-departamento-en-azcapotzalco-58024762.html","MN 10,500","Práctico, amplio y funcional departamento con muy buena distribución, ventilación e iluminación en el nivel 7, en un desarrollo moderno y funcional, con autoservicio, comercio y escuelas alrededor de la zona, con buenas vías de comunicación para llegar a Polanco, Reforma, Circuito Interior, Tacuba, etc. Cuenta con 2 recámaras,  1 baño completo,  sala,  comedor,  balcón en estancia, cocina abierta, área de lavado, los pisos son de porcelanato,  un cajón de estacionamiento cubierto e independiente,  bodega, y un amplia azotea privativa de  53.15m2  vigilancia 24 horas.  Se entrega con closets, cortinas y proteccionesCondiciones de Renta. Pago renta del mes, un mes de depósito, póliza jurídica  con fiador bien raíz en CDMX el pago será 50/50  arrendador/inquilino"
"3",3,"https://www.inmuebles24.com/propiedades/departamento-en-renta-av-cuitlahuac-claveria-57167101.html","MN 12,900","Excelente departamento recién pintado de 65 m2, impecable, finos acabados, edificio de sólo 7 pisos y roof garden común. Cocina integral abierta, 1 recámara muy amplia, 2 baños completos, 1 estacionamiento compartido con elevautos,, piso 1 en Av. Cuitláhuac colonia Claveria. A 10 minutos de Polanco, Circuito, Marina Nacional. Seguridad las 24 horas, 2 elevadores, Roof garden común. Mantenimiento incluido en precio de renta. Citas con Carmen Romero al Ver datos."
"4",4,"https://www.inmuebles24.com/propiedades/bonito-departamento-amueblado-en-renta-en-la-col.-58015903.html","MN 12,500","Departamento en renta amueblado con muy buena  ubicación en la plaza jardin a una cuadra de av. Cuitlahuac , cuenta con sala comedor,cocina equipada, dos recamaras, 1.5 baños, área de lavado, dos cajones de estacionamiento elevador y vigilancia 24horas.Mantenimiento de $1,500No se aceptan mascotas."
"5",5,"https://www.inmuebles24.com/propiedades/rar9507-santa-maria-maninalco-departamento-en-renta-55969861.html","MN 8,500","RAR9507, SANTA MARIA MANINALCO, DEPARTAMENTO FUNCIONAL EN RENTA, BUEN ESTADO DE CONSERVACIÓN, CUENTA CON 2 RECAMARAS, 2 BAÑOS COMPLETOS, SALA COMEDOR, COCINA EQUIPADA CON BARRA, ÁREA DE LAVADO, ESTACIONAMIENTO, JARDÍN COMUNAL, VIGILANCIA LAS 24 HRS., MUY BIEN UBICADO."
"6",6,"https://www.inmuebles24.com/propiedades/departamento-en-2do-piso-ideal-para-parejas-jovenes-58326861.html","MN 10,000","Departamento en 2do piso ideal para parejas jóvenes, bien iluminado con excelente ubicación cerca de la Arena CD de México. Cuenta con cocina integral con amplio espacio para desayunador, se puede instalar lavadora-secadora, 2 recámaras con closets, baño completo con cancel, amplia estancia con piso de cerámica tipo madera, estacionamiento, área de tendido en azotea (jaula) y lavadero. En edificio con cisterna y gas natural."
"7",7,"https://www.inmuebles24.com/propiedades/departamento-en-renta-san-pedro-xalpa-azcapotzalco.-57367469.html","MN 14,000","Hermoso departamento en renta ubicado en Avenida San Isidro, 86 m2 confortablemente distribuidos en sala, comedor, cocina integral, área de lavado, 2 baños completos, 3 recamaras con closet, Roof Garden de 80 m2 exclusivos del departamento, cuenta con persianas y lámparas, 2 lugares de estacionamiento totalmente independientes, vigilancia 24 x 7, gas natural, circuito cerrado en áreas comunes, play grownd, gimnasio, salón de usos múltiples, excelentes vías de comunicación, servicios muy cercanos como bancos, farmacia, autoservicios, etc. Agenda tu cita para conocer este exclusivo condominio."
"8",8,"https://www.inmuebles24.com/propiedades/departamento-en-la-colona-nueva-santa-maria-57821400.html","MN 8,450","DEPARTAMENTO EN LA COLONIA NUEVA SANTA MARÍA, DE UNA RECAMARA CON CLOSET, SALA COMEDOR, BAÑO CON TODOS LOS SERVICIOS, COCINA CON TARJA, BIOLER, ESTACIONAMIENTO PARA UN AUTO COMPACTO, BALCÓN A LA CALLE, EXCELENTE UBICACIÓN."
"9",9,"https://www.inmuebles24.com/propiedades/departamento-en-tres-lagos-santa-maria-52774116.html","MN 11,000","Luminoso y cómodo departamento en segundo nivel , dos recamaras, clósets, dos baños completos, estancia comedor con vista al jardín, cocina integral con barra, área de lavado, pisos cerámicos, un lugar de estacionamiento, vigilancia 24 hrs,. Desarrollo con amenidades, alberca, Gym, Hermosas áreas verdes y asadores, juegos para niños, y zona para mascotas A un lado de Sam's Club la Raza, Frente al Colegio Justo Sierra"
"10",10,"https://www.inmuebles24.com/propiedades/departamento-muy-amplio-e-iluminado-en-av-jardin-54430296.html","MN 12,500","RENTO departamento en Av. Jardín y 4ta Cda. en Azcapotzalco, Consta de 95m2, 2r,2b,1g, cocina integral, área de lavado, 4to piso sin elevador, mtto mensual 700, área de jardín común para eventos y vigilancia 24 hrs. Excelente ubicación, cerca de centros comerciales, colegios, bancos, Av. camarones, circuito interior y varias vías principales Informes Susana Flores Torres Su-inmobiliaria Ver datos"
