"","fecha","titulo","texto"
"1","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","HUGO LÓPEZ-GATELL RAMÍREZ, <U+200B><U+200B><U+200B><U+200B><U+200B><U+200B>SUBSECRETARIO DE PREVENCIÓN Y PROMOCIÓN DE LA SALUD: Muy buenas noches, son las 19:00 horas del viernes 3 de abril. Estamos en la Ciudad de México, en el Palacio Nacional, y vamos a iniciar la conferencia de prensa diaria sobre la situación de la pandemia por el nuevo coronavirus SARS-CoV2 que causa la enfermedad COVID."
"2","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Hoy vamos a abordar un tema de extraordinaria importancia y por eso tenemos a una invitada muy, muy especial, que es Mónica Maccise es la presidenta del Consejo Nacional para Prevenir y Eliminar la Discriminación, Conapred, y nos va a hablar en este tipo de fenómenos sociales, tanto la epidemia misma como este fenómeno social agregado, que son las medidas de mitigación para el control de la epidemia, que nos llevan a cambiar totalmente los hábitos de vida en lo individual, en la comunidad y en toda la sociedad."
"3","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Como hemos comentado en ocasiones recientes, esto complica en cierta manera la manera en que actuamos, porque no estamos acostumbrados obviamente a estas situaciones tan únicas; y la preocupación es que esto puede derivar en actitudes negativas hacia los otros, actitudes que se manifiesten en estigma, en discriminación, en rechazo, en aversión y que sean muy negativos, y hay que estar presentes con esta idea para poderla atender y canalizar oportunamente."
"4","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Muchas gracias, Mónica. Bienvenida."
"5","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Desde luego nos acompaña como es costumbre el doctor, José Luis Alomía, director general de Epidemiología. Entonces, empezaríamos con el informe técnico y después le daríamos la palabra a la presidenta de Conapred y yo comentaría un elemento final de viernes antes de pasar a la sección de preguntas y respuestas."
"6","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Doctor Alomía."
"7","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","JOSÉ LUIS ALOMÍA ZEGARRA, DIRECTOR GENERAL DE EPIDEMIOLOGÍA:  Muchas gracias, señor subsecretario. Con su permiso."
"8","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Buenas tardes a todas y todos."
"9","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Como podemos ver, el panorama internacional, y si todos los días vamos enfocándonos en ese porcentaje que hemos estado comentando, que hoy está en 76 por ciento, que son los casos que iniciaron con síntomas de la enfermedad en los últimos 14 días, es decir, la actividad más reciente o lo que está activo de la pandemia pues se sigue manteniendo, es decir, la pandemia está activa, todavía se están produciendo transmisión y contagios de la enfermedad y día con día seguimos teniendo una cantidad similar de casos en todo el mundo."
"10","03 de abril de 2020","Versión estenográfica. Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México","Claro, la diferencia viene ya cómo se está llevando a cabo esta transmisión en las diferentes regiones de la OMS y lo podemos también ver en las gráficas de barras en donde vemos cómo en un momento la región europea empezó -es la de color azul oscuro, que está en medio- empezó a tomar relevancia a medida que pasaba el tiempo, representando ahora más de la mitad de los casos que se confirman a nivel mundial."
